game_id;title;cycle;release_date;depiction ;vote_average;vote_count;country;producer;genres
1;Until Dawn;;25.08.2015;Until Dawn to trójwymiarowa gra przygodowa zrealizowana w konwencji horroru. Gracze rozpoczynaj¹cy rozgrywkê nie powinni oczekiwaæ psychologicznego horroru, stopniowo buduj¹cego napiêcie dziêki odpowiedniemu klimatowi. Fabu³a Until Dawn czerpie bowiem wzory z typowych hollywoodzkich filmów grozy klasy B. G³ównymi bohaterami tytu³u s¹ nastolatkowie, przebywaj¹cy w odciêtym od œwiata miejscu w górach. Zebrali siê oni w rocznicê tajemniczego zaginiêcia ich przyjació³ki z klasy, by raz na zawsze zapomnieæ o tej ci¹¿¹cej nad nimi sprawie. Sielanka doœæ szybko zmienia siê w koszmar i osiem osób musi teraz walczyæ o ¿ycie.;7.8;2538;Wielka Brytania;Supermassive Games;survival horror, interactive film, przygodowa, akcja
2;Resident Evil VII: Biohazard;Resident Evil;24.01.2017;"Tym razem wcielamy siê w zwyk³ego, szarego cz³owieka imieniem Ethan, który w poszukiwaniu zaginionej ¿ony udaje siê do ponurej i pozornie porzuconej rezydencji, zlokalizowanej na po³udniu Stanów Zjednoczonych. Podczas zabawy eksplorujemy lokacje i walczymy z przeciwnikami; okazjonalnie musimy tak¿e zmierzyæ siê z zagadkami logicznymi. Poszczególne miejscówki nale¿y dok³adnie przeszukiwaæ, gdy¿ czêsto nagradzane jest to cennymi przedmiotami. W po³¹czeniu z wysokim poziomem trudnoœci powoduje to, ¿e gracz przemierza mapy bardzo ostro¿nie, poœpieszne zwiedzanie etapów grozi niespodziewan¹ œmierci¹ lub przegapieniem czegoœ wa¿nego. Natomiast ³amig³ówki w wiêkszoœci polegaj¹ na manipulowaniu ró¿nymi mechanizmami i pozwalaj¹ na chwilê zaczerpn¹æ tchu pomiêdzy kolejnymi zdarzeniami rodem z najgorszych koszmarów.";8.3;2670;Japonia;Capcom;survival horror, przygodowa, akcja, strzelanka
3;The Last of Us;The Last of Us;14.06.2013;Akcja TLoU ma miejsce w 2033 roku, dwadzieœcia lat po upadku cywilizacji. Ludzkoœæ zosta³a zdziesi¹tkowana przez pandemiê grzyba kordycepsa. Zazwyczaj poluj¹cy wy³¹cznie na owady grzyb zmutowa³ i zacz¹³ atakowaæ ludzi, wywo³uj¹c zaraŸliw¹ i nieuleczaln¹ chorobê mózgu. Zaka¿eni powoli zmieniaj¹ siê w agresywne, krwio¿ercze bestie, ¿yj¹ce tylko w celu rozprzestrzeniania infekcji. Wiêkszoœæ populacji Ziemi zginê³a lub zosta³a zara¿ona w pierwszych miesi¹cach pandemii. Wskutek upadku rz¹du kontrolê nad USA przejê³o wojsko, bezlitoœnie traktuj¹ce wszelkie próby oporu. G³ównym bohaterem gry jest Joel, ponad piêædziesiêcioletni, zmêczony ¿yciem przemytnik. Podczas wybuchu pandemii prze¿y³ on osobist¹ tragediê, która zmieni³a go na zawsze. Protagonista zostaje wynajêty przez Œwietliki do wa¿nego zadania. Rebelianci chc¹, aby Joel odeskortowa³ na drugi koniec kraju osierocon¹ nastolatkê Ellie. Szybko okazuje siê, ¿e dziewczyna jest odporna na zarodniki kordycepsa. Joel i Ellie wyruszaj¹ w d³ug¹ podró¿ przez postapokaliptyczne USA.;8.6;11243;USA;Naughty Dog;postapokalipsa, skradanka, strzelanka, przygodowa, fabularna, dramat, survival horror
4;Detroit: Become Human;;25.05.2018;G³ówn¹ atrakcj¹ Detroit: Become Human jest fabu³a, opowiedziana z perspektywy trzech bohaterów-androidów. Akcja produkcji rozgrywa siê w niedalekiej przysz³oœci na terenie tytu³owego miasta Detroit. W uniwersum gry maszyny wygl¹daj¹ce i zachowuj¹ce siê jak ludzie s¹ powszechnie spotykane, co stwarza powa¿ne problemy spo³eczne, jak wysokie bezrobocie czy zapotrzebowanie na nowe zasoby. Protagonistami s¹ Kara i Markus, roboty wykorzystywane do pomocy w domu i zajmowania siê jego mieszkañcami, oraz Connor, prototypowy android, u¿ywany przez policjê w trakcie dochodzeñ, przes³uchañ oraz negocjacji. Poprzez ich przeplataj¹ce siê wzajemnie historie gracz obserwuje i uczestniczy w pojawieniu siê maszyn, które przez defekt w oprogramowaniu zaczê³y siê buntowaæ, uciekaæ od swoich w³aœcicieli i w koñcu odczuwaæ ludzkie emocje.;7.1;2580;Francja;Quantic Dream;przygodowa, akcja, interactive film
5;Outlast;Outlast;04.09.2013;Akcja toczy w Stanach Zjednoczonych. Fabu³a opowiada o losach zak³adu dla ob³¹kanych, zlokalizowanego w stanie Kolorado. Przez d³ugie lata budynek ten sta³ opuszczony, ale niedawno wykupi³a go korporacja Murkoff, która otworzy³a w tym miejscu oœrodek badawczy. W Outlast wcielamy siê w dziennikarza o imieniu Miles Upshur, który dostaje cynk, ¿e w zak³adzie dziej¹ siê dziwne rzeczy. Chc¹c odkryæ prawdê, w³amuje siê on do oœrodka i szybko odkrywa, ¿e na miejscu przeprowadzane s¹ nie tylko zakazane eksperymenty medyczne, ale równie¿ bluŸniercze rytua³y. Bez ¿adnej broni, wyposa¿ony wy³¹cznie w kamerê i kilka zapasowych baterii, Miles wkracza do budynku, który wita go krwawymi scenami niedawnej masakry. Ktoœ – lub coœ – zabija pensjonariuszy i personel oœrodka, a jedyni ¿yj¹cy œwiadkowie tych przera¿aj¹cych zbrodni s¹ zbyt mocno zaburzeni, by s³u¿yæ jak¹kolwiek pomoc¹.;8.6;2909;Kanada;Red Barrels;survival horror, przygodowa, akcja, skradanka, gore
6;Outlast: Whistleblower;Outlast;06.05.2014;Akcja toczy siê ponownie w znanym nam ju¿ szpitalu psychiatrycznym Mount Massive. Tym razem wcielimy siê jednak w jednego z pracowników zak³adu, którego anonimowy donos sprowadzi³ w to miejsce bohatera Outlast, Milesa Upshura. Z pozoru normalnie funkcjonuj¹ca placówka kryje w sobie ponur¹ tajemnicê, a pracuj¹cy w szpitalu lekarze potajemnie przeprowadzaj¹ tu odra¿aj¹ce doœwiadczenia na ludziach. Prawda wychodzi jednak na jaw, prowadz¹c do buntu pacjentów, wskutek którego wiêkszoœæ pracowników szpitala zostaje brutalnie wymordowana. Nam udaje siê prze¿yæ, aby w toku dalszej gry odkryæ szereg pilnie skrywanych faktów, dotycz¹cych korporacji Murkoff. Stoi ona bowiem za wspomnianymi eksperymentami, które zmieni³y Mount Massive w przys³owiowe piek³o na ziemi.;6.7;722;Kanada;Red Barrels;survival horror, przygodowa, akcja, gore
7;Outlast 2;Outlast;24.04.2017;"Outlast 2 rozgrywa siê na terenie regionu Supai, po³o¿onego w pobli¿u Wielkiego Kanionu Kolorado w stanie Arizona. G³ównym bohaterem gry jest Blake Langermann – dziennikarz i kamerzysta, który zmierza do tego miejsca w towarzystwie ¿ony – Lynn – celem rozwik³ania zagadki tajemniczej œmierci anonimowej kobiety; nie wiadomo, czy pad³a ofiar¹ morderstwa, czy te¿ z nieznanych przyczyn postanowi³a pope³niæ samobójstwo. Zawi¹zanie akcji nastêpuje w momencie, kiedy helikopter, na którego pok³adzie podró¿owa³o ma³¿eñstwo, ulega katastrofie, a Blake i jego druga po³ówka zostaj¹ rozdzieleni. Szybko wychodzi na jaw, ¿e znajduj¹c¹ siê nieopodal wioskê zamieszkuj¹ agresywni kultyœci, którzy wierz¹ w zbli¿aj¹cy siê wielkimi krokami koniec œwiata. Od tej pory zadaniem bohatera jest odnalezienie Lynn i ucieczka z tego ponurego miejsca. ";7.5;858;Kanada;Red Barrels;survival horror, przygodowa, akcja, gore
8;Silent Hill: Homecoming;Silent Hill;30.09.2008;Bohaterem pi¹tej czêœci Silent Hill jest Alex Shepherd. Mê¿czyzna ten jest weteranem wojennym. Alex powraca po d³u¿szej nieobecnoœci w rodzinne strony w celu rozwik³ania tajemniczego znikniêcia swojego brata – Joshuy. G³ówny bohater w trakcie rozgrywki odwiedza dwa ró¿ne miasteczka – pojawiaj¹ce siê po raz pierwszy Shepherd’s Glen oraz tytu³owe Silent Hill. ;8.1;1764;Japonia;Konami;survival horror, przygodowa, bijatyka, strzelanka
9;Silent Hill: Downpour;Silent Hill;13.03.2012;Fabu³a przybli¿a nam losy niejakiego Murphy’ego Pendletona, który wskutek wypadku policyjnego konwoju wydostaje siê na wolnoœæ. Traf chce, ¿e miejscem, w którym naszemu bohaterowi przychodzi siê schroniæ jest owiane ponur¹ s³aw¹ miasteczko Silent Hill. Ju¿ niebawem Murphy bêdzie mia³ okazjê przekonaæ siê, ¿e potwory rodem z najgorszych koszmarów wci¹¿ s¹ tam obecne. Prócz przera¿aj¹cych istot nie z tego œwiata miasteczko kryje równie¿ szereg intryg i zagadek, które próbujemy rozwik³aæ w toku rozgrywki. Czêœæ zadañ wpleciona jest w g³ówny w¹tek fabularny, inne – maj¹ce potêgowaæ niepokój i atmosferê niepewnoœci – sk³adaj¹ siê na misje poboczne. Przemierzaj¹c mroczne lokacje Silent Hill regularnie zmuszeni jesteœmy wspomagaæ siê latark¹. Jako Pendleton czêstokroæ stajemy te¿ oko w oko z przeciwnikami o znacznie potê¿niejszych sylwetkach. Mo¿emy broniæ siê przed nimi tym, co wpadnie nam akurat pod rêkê – krzes³ami, butelkami itp., ewentualnie zrezygnowaæ z bezpoœredniego starcia i spróbowaæ ucieczki;7.7;427;Japonia;Konami;survival horror, przygodowa, bijatyka, strzelanka
10;Silent Hill 4: The Room;Silent Hill;07.09.2004;Grê rozpoczyna krótka sekwencja, w której gracz bada pokryte krwi¹ i rdz¹ nawiedzone mieszkanie. W pewnym momencie na jednej ze œcian salonu zaczyna materializowaæ siê upiór – unosz¹ce siê w powietrzu jêcz¹ce cia³o, które upada w spazmach na pod³ogê w pobli¿u g³ównego bohatera. Nied³ugo potem graj¹cemu przedstawiony zostaje protagonista – Henry Townshend – który w³aœnie wybudzi³ siê z koszmaru. Mê¿czyzna otrzymuje tajemniczy telefon. Wiadomoœæ sk³ada siê z dwóch s³ów: „Pomó¿… mi”. Henry orientuje siê, ¿e kabel od telefonu jest odciêty. Podczas eksploracji reszty mieszkania gracz dowiaduje siê, ¿e bohater od piêciu dni jest uwiêziony we w³asnym mieszkaniu – drzwi od wewn¹trz zablokowane s¹ ³añcuchami, a po kluczach do k³ódek ani œladu. Ponadto w jego ³azience pojawia siê wielka, okr¹g³a dziura. Henry decyduje siê zbadaæ to tajemne przejœcie, które przenosi go do innej lokacji – po³o¿onego nieopodal metra, gdzie spotyka pewn¹ kobietê przekonan¹, ¿e oboje w³aœnie przebywaj¹ w jej œnie.;7.8;1613;Japonia;Konami;survival horror, przygodowa, bijatyka, strzelanka
